is_malicious,node_id
true,78506933086795364704086891885315902559701516460652039157379722272371046958496
true,21083679024840227917741926176471142862932536578380136110289082334138381274505
true,86943771941966688752667475392185371836174192579274714875607531191477248999971
true,19191192076126320640924247483532137198489043609278031166569798519948120420409
true,8494962651170941019486294942303452865045959709160683987927972345505688610755
true,20834994022199432358117239076087879786734224697014068324550418630164266292172
true,107758395224189915966009929936085500083576551061330295183245479691742702859344
true,80078577880492190055291958835687491351447235353520825150881534967336775717810
true,21444763903864228777611728735683311458635985122844023709586719375032296896384
true,8523364268682509341164509062146178716950902529288496594674276389115196640448
true,113971621484583213149305319679067523870715092451021047447352655827264442281807
true,36093602753225695073056342998991212823352056071849651795082108548812171441038
true,89333137326635079115430978578397364590151192892532202457099489458922729533182
true,62101433460086714777742258717986077936219151512656858979668212515437770683208
true,112865437415906332786328398388168845416308980718933860169122309032360379224223
true,71896941978754809488137974348151998693205792533709324513258578369466739949960
true,90511429851826879211065261274096806209361290076668493692964796275875003980641
true,81369626915381206686123294800870750548857161636807104342760885069864211144176
true,53361331161743896077078469861579638670051149682413463443234311020456303226868
true,107442146857094918533505676591216762960158330958637723605132424179098757693914
true,50257864748696071111545604552366529653683846146637534008155069048676665739852
true,58264319852933632286469580619958992168067118685244184571393188136088086908036
true,16646573879907590399509196024616451507181138714942166530960518507274707557048
true,15816423376537687498175658716381325840356423323453352469729329490184209416980
